S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1382,7/9/2020,Bihar,147661,16426,130485,750
1383,8/9/2020,Bihar,149027,16121,132145,761
1384,9/9/2020,Bihar,150502,15346,134391,765
1385,10/9/2020,Bihar,152192,15626,135791,775
1386,11/9/2020,Bihar,153568,15239,137544,785
1387,12/9/2020,Bihar,155445,15190,139458,797
1388,13/09/2020,Bihar,156703,14396,141499,808
1389,14/09/2020,Bihar,158285,14113,143350,822
1390,15/09/2020,Bihar,160366,13975,145560,831
1391,16/09/2020,Bihar,160871,13055,146980,836
1392,17/09/2020,Bihar,162463,12959,148656,848
1393,18/09/2020,Bihar,164051,13156,150040,855
1394,19/09/2020,Bihar,165218,12609,151750,859
1395,20/09/2020,Bihar,166788,12629,153298,861
1396,21/09/2020,Bihar,169024,13005,155155,864
1397,22/09/2020,Bihar,169651,12539,156242,870
1398,23/09/2020,Bihar,171255,12928,157454,873
1399,24/09/2020,Bihar,172854,12958,159022,874
1400,25/09/2020,Bihar,174071,13015,160178,878
1401,26/09/2020,Bihar,175525,12773,161874,878
1402,27/09/2020,Bihar,177072,12754,163432,886
1403,28/09/2020,Bihar,178702,12827,164987,888
1404,29/09/2020,Bihar,179832,12664,166276,892
1405,30/09/2020,Bihar,181285,12366,168025,894
1406,1/10/2020,Bihar,182728,12092,169732,904
1407,2/10/2020,Bihar,184038,12086,171048,904
1408,3/10/2020,Bihar,185436,12077,172449,910
1409,4/10/2020,Bihar,186441,11597,173932,912
1410,5/10/2020,Bihar,188168,11795,175458,915
1411,6/10/2020,Bihar,189442,11523,176995,924
1412,7/10/2020,Bihar,190740,11420,178395,925
1413,8/10/2020,Bihar,191985,11326,179732,927
1414,9/10/2020,Bihar,193072,11447,180696,929
1415,10/10/2020,Bihar,194329,11274,182121,934
1416,11/10/2020,Bihar,195499,11165,183390,944
1417,12/10/2020,Bihar,196531,11044,184541,946
1418,13/10/2020,Bihar,197535,10669,185911,955
1419,14/10/2020,Bihar,198855,10835,187059,961
1420,15/10/2020,Bihar,200103,10756,188380,967
1421,16/10/2020,Bihar,201196,11038,189186,972
1422,17/10/2020,Bihar,202290,10884,190425,981
1423,18/10/2020,Bihar,203457,10848,191619,990
1424,19/10/2020,Bihar,204363,10584,192783,996
1425,20/10/2020,Bihar,205945,10937,194005,1003
1426,21/10/2020,Bihar,207405,11348,195046,1011
1427,22/10/2020,Bihar,208377,11118,196240,1019
1428,23/10/2020,Bihar,209447,11213,197208,1026
1429,24/10/2020,Bihar,210196,10630,198532,1034
1430,25/10/2020,Bihar,211258,10459,199757,1042
1431,26/10/2020,Bihar,211689,9722,200918,1049
1432,27/10/2020,Bihar,212355,9355,201942,1058
1433,28/10/2020,Bihar,213085,8846,203174,1065
1434,29/10/2020,Bihar,213576,8329,204178,1069
1435,30/10/2020,Bihar,214242,8058,205108,1076
1436,31/10/2020,Bihar,215327,7897,206346,1084
1437,1/11/2020,Bihar,216086,7516,207480,1090
1438,2/11/2020,Bihar,216707,6966,208644,1097
1439,3/11/2020,Bihar,217277,6594,209582,1101
1440,4/11/2020,Bihar,218203,6423,210672,1108
1441,5/11/2020,Bihar,218605,6094,211398,1113
1442,6/11/2020,Bihar,219349,6356,211872,1121
1443,7/11/2020,Bihar,220099,6518,212452,1129
1444,8/11/2020,Bihar,220936,6287,213513,1136
1445,9/11/2020,Bihar,221624,6273,214207,1144
1446,10/11/2020,Bihar,222917,6503,215263,1151
1447,11/11/2020,Bihar,223346,6093,216097,1156
1448,12/11/2020,Bihar,223917,5815,216940,1162
1449,13/11/2020,Bihar,224524,5763,217594,1167
1450,14/11/2020,Bihar,225124,5637,218313,1174
1451,15/11/2020,Bihar,225595,5727,218689,1179
1452,16/11/2020,Bihar,225901,5454,219263,1184
1453,17/11/2020,Bihar,226417,5221,220007,1189
1454,18/11/2020,Bihar,227018,5156,220668,1194
1455,19/11/2020,Bihar,227822,5349,221272,1201
1456,20/11/2020,Bihar,228511,5378,221924,1209
1457,19/03/2020,Chandigarh,1,1,0,0
1458,20/03/2020,Chandigarh,1,1,0,0
1459,21/03/2020,Chandigarh,1,1,0,0
1460,22/03/2020,Chandigarh,5,5,0,0
1461,23/03/2020,Chandigarh,6,6,0,0
1462,24/03/2020,Chandigarh,6,6,0,0
1463,25/03/2020,Chandigarh,7,7,0,0
1464,26/03/2020,Chandigarh,7,7,0,0
1465,27/03/2020,Chandigarh,7,7,0,0
1466,28/03/2020,Chandigarh,8,8,0,0
1467,29/03/2020,Chandigarh,8,8,0,0
1468,30/03/2020,Chandigarh,8,8,0,0
1469,31/03/2020,Chandigarh,13,13,0,0
1470,1/4/2020,Chandigarh,13,13,0,0
1471,2/4/2020,Chandigarh,16,16,0,0
1472,3/4/2020,Chandigarh,18,18,0,0
1473,4/4/2020,Chandigarh,18,18,0,0
1474,5/4/2020,Chandigarh,18,18,0,0
1475,6/4/2020,Chandigarh,18,18,0,0
1476,7/4/2020,Chandigarh,18,18,0,0
1477,8/4/2020,Chandigarh,18,11,7,0
1478,9/4/2020,Chandigarh,18,11,7,0
1479,10/4/2020,Chandigarh,18,11,7,0
1480,11/4/2020,Chandigarh,18,11,7,0
1481,12/4/2020,Chandigarh,19,12,7,0
1482,13/04/2020,Chandigarh,21,14,7,0
1483,14/04/2020,Chandigarh,21,14,7,0
1484,15/04/2020,Chandigarh,21,14,7,0
1485,16/04/2020,Chandigarh,21,14,7,0
1486,17/04/2020,Chandigarh,21,12,9,0
1487,18/04/2020,Chandigarh,21,12,9,0
1488,19/04/2020,Chandigarh,23,13,10,0
1489,20/04/2020,Chandigarh,26,13,13,0
1490,21/04/2020,Chandigarh,26,13,13,0
1491,22/04/2020,Chandigarh,27,13,14,0
1492,23/04/2020,Chandigarh,27,13,14,0
1493,24/04/2020,Chandigarh,27,13,14,0
1494,25/04/2020,Chandigarh,27,13,14,0
1495,26/04/2020,Chandigarh,28,13,15,0
1496,27/04/2020,Chandigarh,30,13,17,0
1497,28/04/2020,Chandigarh,40,23,17,0
1498,29/04/2020,Chandigarh,56,39,17,0
1499,30/04/2020,Chandigarh,56,39,17,0
1500,1/5/2020,Chandigarh,56,39,17,0
1501,2/5/2020,Chandigarh,88,71,17,0
1502,3/5/2020,Chandigarh,88,71,17,0
1503,4/5/2020,Chandigarh,94,75,19,0
1504,5/5/2020,Chandigarh,102,80,21,1
1505,6/5/2020,Chandigarh,111,89,21,1
1506,7/5/2020,Chandigarh,120,98,21,1
1507,8/5/2020,Chandigarh,135,113,21,1
1508,9/5/2020,Chandigarh,150,128,21,1
1509,10/5/2020,Chandigarh,169,143,24,2
1510,11/5/2020,Chandigarh,169,143,24,2
1511,12/5/2020,Chandigarh,174,148,24,2
1512,13/05/2020,Chandigarh,187,156,28,3
1513,14/05/2020,Chandigarh,187,156,28,3
1514,15/05/2020,Chandigarh,191,151,37,3
1515,16/05/2020,Chandigarh,191,151,37,3
1516,17/05/2020,Chandigarh,191,137,51,3
1517,18/05/2020,Chandigarh,191,137,51,3
1518,19/05/2020,Chandigarh,196,139,54,3
1519,20/05/2020,Chandigarh,200,140,57,3
1520,21/05/2020,Chandigarh,202,142,57,3
1521,22/05/2020,Chandigarh,217,75,139,3
1522,23/05/2020,Chandigarh,218,37,178,3
1523,24/05/2020,Chandigarh,225,43,179,3
1524,25/05/2020,Chandigarh,238,49,186,3
1525,26/05/2020,Chandigarh,238,49,186,3
1526,27/05/2020,Chandigarh,266,75,187,4
1527,28/05/2020,Chandigarh,279,88,187,4
1528,29/05/2020,Chandigarh,288,95,189,4
1529,30/05/2020,Chandigarh,289,96,189,4
1530,31/05/2020,Chandigarh,289,96,189,4
1531,1/6/2020,Chandigarh,293,90,199,4
1532,2/6/2020,Chandigarh,294,91,199,4
1533,3/6/2020,Chandigarh,301,82,214,5
1534,4/6/2020,Chandigarh,301,82,214,5
1535,5/6/2020,Chandigarh,301,82,214,5
1536,6/6/2020,Chandigarh,304,77,222,5
1537,7/6/2020,Chandigarh,309,31,273,5
1538,8/6/2020,Chandigarh,314,36,273,5
1539,9/6/2020,Chandigarh,317,39,273,5
1540,10/6/2020,Chandigarh,323,32,286,5
1541,11/6/2020,Chandigarh,327,36,286,5
1542,12/6/2020,Chandigarh,332,41,286,5
1543,13/06/2020,Chandigarh,334,43,286,5
1544,14/06/2020,Chandigarh,345,54,286,5
1545,15/06/2020,Chandigarh,352,54,293,5
1546,16/06/2020,Chandigarh,354,52,296,6
1547,17/06/2020,Chandigarh,358,50,302,6
1548,18/06/2020,Chandigarh,368,59,303,6
1549,19/06/2020,Chandigarh,374,62,306,6
1550,20/06/2020,Chandigarh,381,60,315,6
1551,21/06/2020,Chandigarh,404,82,316,6
1552,22/06/2020,Chandigarh,406,84,316,6
1553,23/06/2020,Chandigarh,411,83,322,6
1554,24/06/2020,Chandigarh,418,90,322,6
1555,25/06/2020,Chandigarh,420,91,323,6
1556,26/06/2020,Chandigarh,423,88,329,6
1557,27/06/2020,Chandigarh,425,84,335,6
1558,28/06/2020,Chandigarh,428,87,335,6
1559,29/06/2020,Chandigarh,429,87,336,6
1560,30/06/2020,Chandigarh,435,80,349,6
1561,1/7/2020,Chandigarh,440,70,364,6
1562,2/7/2020,Chandigarh,446,73,367,6
1563,3/7/2020,Chandigarh,450,55,389,6
1564,4/7/2020,Chandigarh,457,58,393,6
1565,5/7/2020,Chandigarh,460,59,395,6
1566,6/7/2020,Chandigarh,466,65,395,6
1567,7/7/2020,Chandigarh,489,82,401,6
1568,8/7/2020,Chandigarh,494,86,401,7
1569,9/7/2020,Chandigarh,513,104,402,7
1570,10/7/2020,Chandigarh,523,113,403,7
1571,11/7/2020,Chandigarh,539,124,408,7
1572,12/7/2020,Chandigarh,555,135,413,7
1573,13/07/2020,Chandigarh,559,134,417,8
1574,14/07/2020,Chandigarh,588,157,423,8
1575,15/07/2020,Chandigarh,600,144,446,10
1576,16/07/2020,Chandigarh,625,155,459,11
1577,17/07/2020,Chandigarh,651,164,476,11
1578,18/07/2020,Chandigarh,660,169,480,11
1579,19/07/2020,Chandigarh,700,203,485,12
1580,20/07/2020,Chandigarh,717,217,488,12
1581,21/07/2020,Chandigarh,737,207,518,12
1582,22/07/2020,Chandigarh,751,221,518,12
1583,23/07/2020,Chandigarh,793,254,526,13
1584,24/07/2020,Chandigarh,800,256,531,13
1585,25/07/2020,Chandigarh,823,275,535,13
1586,26/07/2020,Chandigarh,852,284,555,13
1587,27/07/2020,Chandigarh,887,302,572,13
1588,28/07/2020,Chandigarh,910,321,575,14
1589,29/07/2020,Chandigarh,934,321,599,14
1590,30/07/2020,Chandigarh,978,353,611,14
1591,31/07/2020,Chandigarh,1016,355,647,14
1592,1/8/2020,Chandigarh,1051,369,667,15
1593,2/8/2020,Chandigarh,1079,378,683,18
1594,3/8/2020,Chandigarh,1117,400,698,19
1595,4/8/2020,Chandigarh,1159,434,706,19
1596,5/8/2020,Chandigarh,1206,471,715,20
1597,6/8/2020,Chandigarh,1270,535,715,20
1598,7/8/2020,Chandigarh,1327,530,777,20
1599,8/8/2020,Chandigarh,1374,531,820,23
1600,9/8/2020,Chandigarh,1426,530,872,24
1601,10/8/2020,Chandigarh,1515,586,904,25
1602,11/8/2020,Chandigarh,1595,566,1004,25
1603,12/8/2020,Chandigarh,1670,629,1015,26
1604,13/08/2020,Chandigarh,1751,702,1023,26
1605,14/08/2020,Chandigarh,1842,739,1076,27
1606,15/08/2020,Chandigarh,1928,809,1091,28
1607,16/08/2020,Chandigarh,2009,863,1118,28
1608,17/08/2020,Chandigarh,2102,936,1137,29
1609,18/08/2020,Chandigarh,2216,1003,1183,30
1610,19/08/2020,Chandigarh,2305,1032,1243,30
1611,20/08/2020,Chandigarh,2396,1014,1351,31
1612,21/08/2020,Chandigarh,2515,1094,1390,31
1613,22/08/2020,Chandigarh,2631,1172,1426,33
1614,23/08/2020,Chandigarh,2776,1272,1471,33
1615,24/08/2020,Chandigarh,2918,1389,1492,37
1616,25/08/2020,Chandigarh,3035,1352,1646,37
1617,26/08/2020,Chandigarh,3209,1456,1713,40
1618,27/08/2020,Chandigarh,3376,1539,1796,41
1619,28/08/2020,Chandigarh,3564,1544,1977,43
1620,29/08/2020,Chandigarh,3724,1572,2107,45
1621,30/08/2020,Chandigarh,3985,1692,2248,45
1622,31/08/2020,Chandigarh,4155,1807,2296,52
1623,1/9/2020,Chandigarh,4346,1859,2431,56
1624,2/9/2020,Chandigarh,4550,1942,2551,57
1625,3/9/2020,Chandigarh,4789,2060,2670,59
1626,4/9/2020,Chandigarh,5065,2119,2883,63
1627,5/9/2020,Chandigarh,5268,2095,3105,68
1628,6/9/2020,Chandigarh,5502,2143,3290,69
1629,7/9/2020,Chandigarh,5763,2253,3439,71
1630,8/9/2020,Chandigarh,5995,2187,3734,74
1631,9/9/2020,Chandigarh,6372,2334,3960,78
1632,10/9/2020,Chandigarh,6704,2484,4140,80
1633,11/9/2020,Chandigarh,6987,2573,4331,83
1634,12/9/2020,Chandigarh,7292,2606,4600,86
1635,13/09/2020,Chandigarh,7542,2586,4864,92
1636,14/09/2020,Chandigarh,7991,2728,5170,93
1637,15/09/2020,Chandigarh,8245,2847,5300,98
1638,16/09/2020,Chandigarh,8592,2991,5502,99
1639,17/09/2020,Chandigarh,8958,3171,5683,104
1640,18/09/2020,Chandigarh,9256,3085,6062,109
1641,19/09/2020,Chandigarh,9506,2978,6415,113
1642,20/09/2020,Chandigarh,9796,2911,6766,119
1643,21/09/2020,Chandigarh,10082,2821,7138,123
1644,22/09/2020,Chandigarh,10298,2761,7411,126
1645,23/09/2020,Chandigarh,10546,2622,7794,130
1646,24/09/2020,Chandigarh,10726,2537,8049,140
1647,25/09/2020,Chandigarh,10968,2482,8342,144
1648,26/09/2020,Chandigarh,11212,2390,8677,145
1649,27/09/2020,Chandigarh,11380,2298,8937,145
1650,28/09/2020,Chandigarh,11553,2303,9103,147
1651,29/09/2020,Chandigarh,11678,2200,9325,153
1652,30/09/2020,Chandigarh,11816,2060,9598,158
1653,1/10/2020,Chandigarh,11938,1963,9813,162
1654,2/10/2020,Chandigarh,12057,1884,10009,164
1655,3/10/2020,Chandigarh,12212,1881,10162,169
1656,4/10/2020,Chandigarh,12360,1792,10396,172
1657,5/10/2020,Chandigarh,12445,1673,10598,174
1658,6/10/2020,Chandigarh,12578,1604,10797,177
1659,7/10/2020,Chandigarh,12707,1492,11035,180
1660,8/10/2020,Chandigarh,12820,1448,11190,182
1661,9/10/2020,Chandigarh,12922,1392,11344,186
1662,10/10/2020,Chandigarh,12985,1292,11505,188
1663,11/10/2020,Chandigarh,13081,1229,11662,190
1664,12/10/2020,Chandigarh,13162,1184,11787,191
1665,13/10/2020,Chandigarh,13260,1170,11898,192
1666,14/10/2020,Chandigarh,13331,1127,12007,197
1667,15/10/2020,Chandigarh,13403,1085,12119,199
1668,16/10/2020,Chandigarh,13477,1044,12232,201
1669,17/10/2020,Chandigarh,13532,974,12352,206
1670,18/10/2020,Chandigarh,13582,915,12460,207
1671,19/10/2020,Chandigarh,13646,884,12554,208
1672,20/10/2020,Chandigarh,13686,861,12617,208
1673,21/10/2020,Chandigarh,13743,810,12724,209
1674,22/10/2020,Chandigarh,13795,744,12842,209
1675,23/10/2020,Chandigarh,13848,712,12924,212
1676,24/10/2020,Chandigarh,13920,697,13009,214
1677,25/10/2020,Chandigarh,13977,674,13087,216
1678,26/10/2020,Chandigarh,14038,653,13167,218
1679,27/10/2020,Chandigarh,14085,633,13230,222
1680,28/10/2020,Chandigarh,14152,650,13279,223
1681,29/10/2020,Chandigarh,14212,629,13359,224
1682,30/10/2020,Chandigarh,14292,665,13402,225
1683,31/10/2020,Chandigarh,14351,657,13469,225
1684,1/11/2020,Chandigarh,14418,641,13551,226
1685,2/11/2020,Chandigarh,14476,618,13632,226
1686,3/11/2020,Chandigarh,14528,593,13708,227
1687,4/11/2020,Chandigarh,14608,629,13751,228
1688,5/11/2020,Chandigarh,14702,671,13802,229
1689,6/11/2020,Chandigarh,14794,703,13862,229
1690,7/11/2020,Chandigarh,14927,772,13925,230
1691,8/11/2020,Chandigarh,15025,815,13978,232
1692,9/11/2020,Chandigarh,15134,876,14024,234
1693,10/11/2020,Chandigarh,15249,902,14110,237
1694,11/11/2020,Chandigarh,15339,922,14176,241
1695,12/11/2020,Chandigarh,15434,958,14233,243
1696,13/11/2020,Chandigarh,15543,1002,14297,244
1697,14/11/2020,Chandigarh,15636,1009,14381,246
1698,15/11/2020,Chandigarh,15636,1009,14381,246
1699,16/11/2020,Chandigarh,15804,1088,14468,248
1700,17/11/2020,Chandigarh,15886,1052,14584,250
1701,18/11/2020,Chandigarh,16022,1026,14744,252
1702,19/11/2020,Chandigarh,16167,1081,14833,253
1703,20/11/2020,Chandigarh,16322,1105,14963,254
1704,20/03/2020,Chhattisgarh,1,1,0,0
1705,21/03/2020,Chhattisgarh,1,1,0,0
1706,22/03/2020,Chhattisgarh,1,1,0,0
1707,23/03/2020,Chhattisgarh,1,1,0,0
1708,24/03/2020,Chhattisgarh,1,1,0,0
1709,25/03/2020,Chhattisgarh,1,1,0,0
1710,26/03/2020,Chhattisgarh,3,3,0,0
1711,27/03/2020,Chhattisgarh,6,6,0,0
1712,28/03/2020,Chhattisgarh,6,6,0,0
1713,29/03/2020,Chhattisgarh,6,6,0,0
1714,30/03/2020,Chhattisgarh,7,7,0,0
1715,31/03/2020,Chhattisgarh,8,8,0,0
1716,1/4/2020,Chhattisgarh,9,9,0,0
1717,2/4/2020,Chhattisgarh,9,7,2,0
1718,3/4/2020,Chhattisgarh,9,7,2,0
1719,4/4/2020,Chhattisgarh,9,6,3,0
1720,5/4/2020,Chhattisgarh,9,6,3,0
1721,6/4/2020,Chhattisgarh,9,6,3,0
1722,7/4/2020,Chhattisgarh,10,2,8,0
1723,8/4/2020,Chhattisgarh,10,1,9,0
1724,9/4/2020,Chhattisgarh,10,1,9,0
1725,10/4/2020,Chhattisgarh,10,1,9,0
1726,11/4/2020,Chhattisgarh,18,9,9,0
1727,12/4/2020,Chhattisgarh,18,9,9,0
1728,13/04/2020,Chhattisgarh,31,21,10,0
1729,14/04/2020,Chhattisgarh,31,21,10,0
1730,15/04/2020,Chhattisgarh,33,20,13,0
1731,16/04/2020,Chhattisgarh,33,16,17,0
1732,17/04/2020,Chhattisgarh,33,10,23,0
1733,18/04/2020,Chhattisgarh,36,12,24,0
1734,19/04/2020,Chhattisgarh,36,12,24,0
1735,20/04/2020,Chhattisgarh,36,11,25,0
1736,21/04/2020,Chhattisgarh,36,11,25,0
1737,22/04/2020,Chhattisgarh,36,10,26,0
1738,23/04/2020,Chhattisgarh,36,10,26,0
1739,24/04/2020,Chhattisgarh,36,8,28,0
1740,25/04/2020,Chhattisgarh,36,6,30,0
1741,26/04/2020,Chhattisgarh,37,5,32,0
1742,27/04/2020,Chhattisgarh,37,5,32,0
1743,28/04/2020,Chhattisgarh,37,5,32,0
1744,29/04/2020,Chhattisgarh,38,4,34,0
1745,30/04/2020,Chhattisgarh,38,4,34,0
1746,1/5/2020,Chhattisgarh,40,4,36,0
1747,2/5/2020,Chhattisgarh,43,7,36,0
1748,3/5/2020,Chhattisgarh,43,7,36,0
1749,4/5/2020,Chhattisgarh,57,21,36,0
1750,5/5/2020,Chhattisgarh,58,22,36,0
1751,6/5/2020,Chhattisgarh,59,23,36,0
1752,7/5/2020,Chhattisgarh,59,23,36,0
1753,8/5/2020,Chhattisgarh,59,21,38,0
1754,9/5/2020,Chhattisgarh,59,21,38,0
1755,10/5/2020,Chhattisgarh,59,16,43,0
1756,11/5/2020,Chhattisgarh,59,10,49,0
1757,12/5/2020,Chhattisgarh,59,6,53,0
1758,13/05/2020,Chhattisgarh,59,5,54,0
1759,14/05/2020,Chhattisgarh,59,4,55,0
1760,15/05/2020,Chhattisgarh,60,4,56,0
1761,16/05/2020,Chhattisgarh,66,10,56,0
1762,17/05/2020,Chhattisgarh,67,11,56,0
1763,18/05/2020,Chhattisgarh,86,27,59,0
1764,19/05/2020,Chhattisgarh,93,34,59,0
1765,20/05/2020,Chhattisgarh,101,42,59,0
1766,21/05/2020,Chhattisgarh,115,56,59,0
1767,22/05/2020,Chhattisgarh,128,69,59,0
1768,23/05/2020,Chhattisgarh,172,110,62,0
1769,24/05/2020,Chhattisgarh,214,150,64,0
1770,25/05/2020,Chhattisgarh,252,185,67,0
1771,26/05/2020,Chhattisgarh,291,219,72,0
1772,27/05/2020,Chhattisgarh,361,282,79,0
1773,28/05/2020,Chhattisgarh,369,286,83,0
1774,29/05/2020,Chhattisgarh,399,316,83,0
1775,30/05/2020,Chhattisgarh,415,314,100,1
1776,31/05/2020,Chhattisgarh,447,344,102,1
1777,1/6/2020,Chhattisgarh,498,382,115,1
1778,2/6/2020,Chhattisgarh,547,424,122,1
1779,3/6/2020,Chhattisgarh,564,433,130,1
1780,4/6/2020,Chhattisgarh,668,478,188,2
1781,5/6/2020,Chhattisgarh,756,541,213,2
1782,6/6/2020,Chhattisgarh,879,633,244,2
1783,7/6/2020,Chhattisgarh,923,653,266,4
1784,8/6/2020,Chhattisgarh,1073,786,283,4
1785,9/6/2020,Chhattisgarh,1160,848,308,4
1786,10/6/2020,Chhattisgarh,1240,848,386,6
1787,11/6/2020,Chhattisgarh,1262,854,402,6
1788,12/6/2020,Chhattisgarh,1398,945,447,6
1789,13/06/2020,Chhattisgarh,1429,873,550,6
1790,14/06/2020,Chhattisgarh,1512,875,631,6
1791,15/06/2020,Chhattisgarh,1662,891,763,8
1792,16/06/2020,Chhattisgarh,1756,858,890,8
1793,17/06/2020,Chhattisgarh,1781,736,1036,9
1794,18/06/2020,Chhattisgarh,1864,674,1180,10
1795,19/06/2020,Chhattisgarh,1946,708,1228,10
1796,20/06/2020,Chhattisgarh,2028,687,1331,10
1797,21/06/2020,Chhattisgarh,2041,636,1394,11
1798,22/06/2020,Chhattisgarh,2275,817,1447,11
1799,23/06/2020,Chhattisgarh,2303,778,1513,12
1800,24/06/2020,Chhattisgarh,2362,797,1553,12
1801,25/06/2020,Chhattisgarh,2419,780,1627,12
1802,26/06/2020,Chhattisgarh,2452,685,1755,12
1803,27/06/2020,Chhattisgarh,2545,618,1914,13
1804,28/06/2020,Chhattisgarh,2545,618,1914,13
1805,29/06/2020,Chhattisgarh,2662,558,2091,13
1806,30/06/2020,Chhattisgarh,2761,575,2173,13
1807,1/7/2020,Chhattisgarh,2860,597,2250,13
1808,2/7/2020,Chhattisgarh,2940,623,2303,14
1809,3/7/2020,Chhattisgarh,3013,614,2385,14
1810,4/7/2020,Chhattisgarh,3065,614,2437,14
1811,5/7/2020,Chhattisgarh,3161,598,2549,14
1812,6/7/2020,Chhattisgarh,3207,592,2601,14
1813,7/7/2020,Chhattisgarh,3305,624,2667,14
1814,8/7/2020,Chhattisgarh,3415,650,2751,14
1815,9/7/2020,Chhattisgarh,3525,676,2835,14
1816,10/7/2020,Chhattisgarh,3675,757,2903,15
1817,11/7/2020,Chhattisgarh,3767,722,3028,17
1818,12/7/2020,Chhattisgarh,3897,810,3070,17
1819,13/07/2020,Chhattisgarh,4059,887,3153,19
1820,14/07/2020,Chhattisgarh,4217,996,3202,19
1821,15/07/2020,Chhattisgarh,4379,1084,3275,20
1822,16/07/2020,Chhattisgarh,4539,1195,3324,20
1823,17/07/2020,Chhattisgarh,4732,1260,3451,21
1824,18/07/2020,Chhattisgarh,4964,1429,3512,23
1825,19/07/2020,Chhattisgarh,5233,1551,3658,24
1826,20/07/2020,Chhattisgarh,5407,1608,3775,24
1827,21/07/2020,Chhattisgarh,5561,1592,3944,25
1828,22/07/2020,Chhattisgarh,5729,1586,4114,29
1829,23/07/2020,Chhattisgarh,5968,1709,4230,29
1830,24/07/2020,Chhattisgarh,6254,1847,4377,30
1831,25/07/2020,Chhattisgarh,6731,2128,4567,36
1832,26/07/2020,Chhattisgarh,7087,2365,4683,39
1833,27/07/2020,Chhattisgarh,7450,2463,4944,43
1834,28/07/2020,Chhattisgarh,7745,2529,5172,44
1835,29/07/2020,Chhattisgarh,8257,2772,5439,46
1836,30/07/2020,Chhattisgarh,8539,2855,5636,48
1837,31/07/2020,Chhattisgarh,8761,2789,5921,51
1838,1/8/2020,Chhattisgarh,9086,2803,6230,53
1839,2/8/2020,Chhattisgarh,9385,2720,6610,55
1840,3/8/2020,Chhattisgarh,9531,2482,6991,58
1841,4/8/2020,Chhattisgarh,9779,2462,7256,61
1842,5/8/2020,Chhattisgarh,10202,2520,7613,69
1843,6/8/2020,Chhattisgarh,10407,2465,7871,71
1844,7/8/2020,Chhattisgarh,10932,2767,8088,77
1845,8/8/2020,Chhattisgarh,11408,3002,8319,87
1846,9/8/2020,Chhattisgarh,11743,3072,8582,89
1847,10/8/2020,Chhattisgarh,12148,3243,8809,96
1848,11/8/2020,Chhattisgarh,12448,3336,9013,99
1849,12/8/2020,Chhattisgarh,12929,3586,9239,104
1850,13/08/2020,Chhattisgarh,13498,3881,9508,109
1851,14/08/2020,Chhattisgarh,13937,4165,9658,114
1852,15/08/2020,Chhattisgarh,14481,4494,9857,130
1853,16/08/2020,Chhattisgarh,14987,4807,10046,134
1854,17/08/2020,Chhattisgarh,15471,5095,10235,141
1855,18/08/2020,Chhattisgarh,16025,5277,10598,150
1856,19/08/2020,Chhattisgarh,16833,5828,10847,158
1857,20/08/2020,Chhattisgarh,17485,6139,11185,161
1858,21/08/2020,Chhattisgarh,18501,6594,11739,168
1859,22/08/2020,Chhattisgarh,19510,7308,12022,180
1860,23/08/2020,Chhattisgarh,20078,7495,12394,189
1861,24/08/2020,Chhattisgarh,20918,7790,12931,197
1862,25/08/2020,Chhattisgarh,22054,8424,13424,206
1863,26/08/2020,Chhattisgarh,23341,9388,13732,221
1864,27/08/2020,Chhattisgarh,24550,10174,14145,231
1865,28/08/2020,Chhattisgarh,25988,11136,14607,245
1866,29/08/2020,Chhattisgarh,27233,11873,15109,251
1867,30/08/2020,Chhattisgarh,28746,12666,15818,262
1868,31/08/2020,Chhattisgarh,30092,13520,16303,269
1869,1/9/2020,Chhattisgarh,31503,14237,16989,277
1870,2/9/2020,Chhattisgarh,33387,15533,17567,287
1871,3/9/2020,Chhattisgarh,35683,17164,18220,299
1872,4/9/2020,Chhattisgarh,37967,18702,18950,315
1873,5/9/2020,Chhattisgarh,40634,20672,19625,337
1874,6/9/2020,Chhattisgarh,43163,22320,20487,356
1875,7/9/2020,Chhattisgarh,45263,23685,21198,380
1876,8/9/2020,Chhattisgarh,47280,24708,22177,395
1877,9/9/2020,Chhattisgarh,50114,26915,22792,407
1878,10/9/2020,Chhattisgarh,52932,28041,24414,477
1879,11/9/2020,Chhattisgarh,55680,29332,25855,493
1880,12/9/2020,Chhattisgarh,58643,31001,27123,519
1881,13/09/2020,Chhattisgarh,61763,33246,27978,539
1882,14/09/2020,Chhattisgarh,63991,31505,31931,555
1883,15/09/2020,Chhattisgarh,67327,33645,33109,573
1884,16/09/2020,Chhattisgarh,70777,35909,34279,589
1885,17/09/2020,Chhattisgarh,73966,37470,35885,611
1886,18/09/2020,Chhattisgarh,77775,36036,41111,628
1887,19/09/2020,Chhattisgarh,81617,36580,44392,645
1888,20/09/2020,Chhattisgarh,84234,37489,46081,664
1889,21/09/2020,Chhattisgarh,86183,37853,47653,677
1890,22/09/2020,Chhattisgarh,88181,37927,49564,690
1891,23/09/2020,Chhattisgarh,90917,38198,52001,718
1892,24/09/2020,Chhattisgarh,93351,35850,56773,728
1893,25/09/2020,Chhattisgarh,95623,36038,58833,752
1894,26/09/2020,Chhattisgarh,98565,30928,66860,777
1895,27/09/2020,Chhattisgarh,102461,30689,70955,817
1896,28/09/2020,Chhattisgarh,104733,31661,72224,848
